CompTotal;Gender;Manager;YearsCode;Age1stCode;YearsCodePro;Education
112500;Man;IC;8;14;6;PhD
92500;Man;IC;5;23;4;Bachelor's
125000;Man;IC;5;17;3;Master's
120000;Woman;IC;5;17;4;Bachelor's
62000;Woman;IC;4;24;2;Bachelor's
100000;Man;IC;20;16;10;Bachelor's
73000;Man;IC;10;16;6;Bachelor's
84000;Man;IC;6;14;3;Bachelor's
85000;Man;IC;4;25;3;NA
124000;Man;IC;20;16;20;Bachelor's
45000;Man;IC;3;29;1;Bachelor's
150000;Man;IC;25;35;20;Master's
120000;Woman;IC;4;16;1;Master's
125000;Man;IC;6;36;6;Less than bachelor's
242000;Man;IC;12;15;7;Bachelor's
117000;Man;IC;26;9;6;Bachelor's
126500;Man;IC;9;11;6;Bachelor's
140000;Man;IC;5;18;Less than 1 year;Bachelor's
139000;Woman;IC;20;16;18;Master's
172500;Man;IC;17;14;15;PhD
137000;Man;IC;26;8;12;Bachelor's
190000;Man;IC;22;19;14;Master's
82000;Man;IC;20;12;10;Bachelor's
95000;Man;IC;44;15;41;Bachelor's
60000;Man;IC;4;18;Less than 1 year;Bachelor's
100000;Man;IC;20;14;16;Bachelor's
150000;Man;IC;6;17;8;Master's
180000;Man;Manager;24;15;20;Bachelor's
250000;Man;Manager;34;12;30;Bachelor's
66000;Man;IC;12;13;4;Less than bachelor's
102000;Man;IC;27;8;8;Bachelor's
70000;Man;IC;5;18;3;Master's
130000;Woman;IC;8;19;4;Bachelor's
160000;Man;IC;22;10;16;Bachelor's
105000;Man;IC;7;20;5;Bachelor's
105000;Man;IC;19;17;16;Bachelor's
112800;Man;IC;9;19;9;Bachelor's
125000;Man;IC;30;8;20;Bachelor's
50000;Man;IC;6;6;4;Less than bachelor's
64000;Woman;IC;5;22;3;Bachelor's
100000;Man;IC;30;16;25;Bachelor's
160000;Man;IC;20;15;15;Less than bachelor's
95000;Man;IC;10;16;6;Master's
82000;Man;IC;15;14;6;Less than bachelor's
110000;Woman;IC;8;18;5;Bachelor's
130000;Man;IC;10;15;4;Master's
82500;Man;IC;14;13;6;Bachelor's
100000;Man;IC;8;11;6;Master's
